brth_yr,nm,cnt
2016,Olivia,172
2016,Chloe,112
2016,Sophia,104
2016,Emily,99
2016,Emma,99
2016,Mia,79
2016,Charlotte,59
2016,Sarah,57
2016,Isabella,56
2016,Hannah,56
2016,Grace,54
2016,Angela,54
2016,Ava,53
2016,Joanna,49
2016,Amelia,44
2016,Ella,42
2016,Evelyn,42
2016,Arya,42
2016,Ariana,40
2016,Maya,39
2016,Alina,39
2016,Fiona,35
2016,Ashley,34
2016,Fatima,34
2016,Anaya,34
2016,Anna,34
2016,Aria,33
2016,Abigail,32
2016,Victoria,32
2016,Abby,31
2016,Zoe,31
2016,Ayesha,30
2016,Claire,30
2016,Vivian,30
2016,Jessica,29
2016,Zoey,29
2016,Audrey,29
2016,Sophie,28
2016,Alice,28
2016,Rachel,28
2016,Zainab,28
2016,Amy,27
2016,Phoebe,27
2016,Bella,27
2016,Maryam,26
2016,Annie,26
2016,Zara,26
2016,Eva,26
2016,Kayla,26
2016,Angelina,25
2016,Tiffany,25
2016,Ellie,25
2016,Aisha,25
2016,Natalie,24
2016,Riley,24
2016,Katherine,24
2016,Avery,24
2016,Jasmine,24
2016,Hailey,23
2016,Cynthia,23
2016,Madison,23
2016,Elena,23
2016,Aleena,23
2016,Michelle,23
2016,Alexandra,23
2016,Melody,22
2016,Elizabeth,21
2016,Ivy,21
2016,Kaylee,21
2016,Chelsea,21
2016,Queenie,20
2016,Sofia,20
2016,Allison,20
2016,Isabelle,20
2016,Irene,20
2016,Leah,20
2016,Tenzin,20
2016,Aizah,20
2016,Stephanie,19
2016,Myra,19
2016,Alyssa,19
2016,Ariel,19
2016,Inaaya,19
2016,Harper,19
2016,Iris,18
2016,Lily,18
2016,Katie,18
2016,Nina,18
2016,Christina,18
2016,Joyce,18
2016,Alisha,17
2016,Mila,17
2016,Cindy,17
2016,Nicole,17
2016,Kaitlyn,17
2016,Crystal,17
2016,Queena,16
2016,Sara,16
2016,Kelly,16
2016,Hanna,16
2016,Amanda,16
2016,Hoorain,16
2016,Arianna,16
2016,Amber,16
2016,Manha,16
2016,Catherine,16
2016,Julia,15
2016,Serena,15
2016,Hana,15
2016,Penelope,15
2016,Athena,15
2016,Jocelyn,15
2016,Ayat,15
2016,Inaya,14
2016,Mina,14
2016,Clara,14
2016,Lydia,14
2016,Emilia,14
2016,Winnie,14
2016,Jacqueline,14
2016,Leanna,14
2016,Elaine,14
2016,Vicky,14
2016,Samantha,14
2016,Amaya,13
2016,Elsa,13
2016,Angel,13
2016,Haniya,13
2016,Sharon,13
2016,Lucy,13
2016,Karen,12
2016,Savannah,12
2016,Joy,12
2016,Eleanor,12
2016,Meera,12
2016,Jessie,12
2016,Celine,12
2016,Esther,12
2016,Luna,12
2016,Amara,12
2016,Selina,12
2016,Annabelle,12
2016,Carina,12
2016,Anne,12
2016,Stella,12
2016,Valerie,12
2016,Lillian,11
2016,Scarlett,11
2016,Zahra,11
2016,Amina,11
2016,Jenny,11
2016,Kira,11
2016,Miranda,11
2016,Taylor,11
2016,Sylvia,11
2016,Nora,11
2016,Layla,11
2016,Mahnoor,11
2016,Bonnie,11
2016,Noor,11
2016,Hareem,11
2016,Yuna,11
2016,Eunice,11
2016,Mira,10
2016,Aliyah,10
2016,Laura,10
2016,Summer,10
2016,Caroline,10
2016,Livia,10
2016,Keira,10
2016,Leela,10
2016,Syeda,10
2016,Aileen,10
2016,Brianna,10
2016,Arisha,10
2016,Jannatul,10
